旧值	新值	频率
10x10	标注数值	1
17	标注数值	1
1x3	标注数值	1
1x4	标注数值	1
2%	标注占比	1
24	标注数值	1
2x4	标注数值	1
4	标注数值	1
4x4	标注数值	1
52列x7行网格，每格=一天，行=周日-周六	其他标注	1
52列×7行的日历网格，每格一天，颜色编码排放量	标注数值	1
53	标注数值	1
5x10网格，每格=一州，位置近似地理	其他标注	1
7根垂直柱（周一-周日），水平目标线	标注参考线	1
APP	标注数值	1
AQI	标注数值	1
AUC+CI	标注评分	2
Brier	标注数值	1
CAC	标注数值	1
CAC+转化率	标注转化率	1
CLV/CAC	其他标注	1
CR3+供应风险	标注风险	1
CTR	标注数值	1
DALY	标注数值	1
DALYs	标注数值	1
ED50/IC50	其他标注	1
Egger	标注数值	1
GDP+	标注数值	1
GDP+增速	标注增长率	1
GMV+	标注数值	1
HR	标注数值	1
HR+p值标注	其他标注	1
Harvey	标注数值	1
IPC	标注数值	1
IRR+SROI	标注效率	1
IRR+中位数	标注参考线	1
I²	标注数值	1
Kolmogorov-Smirnov	其他标注	1
LTV	标注数值	1
MAE	标注数值	1
Mbps	标注数值	1
NI	标注数值	1
OR/RR	标注数值	1
PP100	标注数值	1
R0值+置信区间	其他标注	1
RECIST	标注数值	1
RMSD	标注数值	1
ROI	标注效率	1
RevPAR+同比	标注增长率	1
R²	标注数值	1
SDG目标绿色虚线	其他标注	1
SKU	标注数值	1
SNP	标注数值	1
TCO	标注数值	1
TTP	标注数值	1
Top	标注数值	1
VaR/TVaR	其他标注	1
X	标注数值	1
X=参数量，Y=速度，大小=准确率	标注转化率	1
X=技术成熟度，Y=市场吸引力，大小=投资额	标注评分	1
X=投资额，Y=项目数，大小=单笔均值	标注因素金额	1
X=挂牌量，Y=成交周期，四分象限标注	标注阶段	1
X=替代潜力，Y=转型难度，大小=从业人数	标注数值	1
X=贡献者，Y=提交频率，大小=响应速度	其他标注	1
X=财政自给率，Y=债务率，大小=债务余额	其他标注	1
X=赛道成熟度，Y=融资金额，大小=估值	标注评分	1
X=量子比特，Y=保真度，大小=纠错能力	其他标注	1
X=预算，Y=观看时长，大小=续订概率	标注数值	1
X=预算，Y=观看时长，大小=续订率	其他标注	1
d	标注数值	1
guide	标注数值	1
p	标注数值	1
x轴=赛道路程（公里），y轴=累计时间偏差，每人一条弧线叠加	标注差异	1
x轴人均收入(对数)，y轴预期寿命，气泡=人口	标注数值	1
x轴时间，y轴伤亡数，气泡大小编码影响	其他标注	1
zeitgeber时间标注	其他标注	1
λ	标注数值	1
上半幅地图	标注数值	1
下载量标注	标注数值	1
下降%标注	标注占比	1
不良率+原因	标注转化率	1
专利数标注点旁	其他标注	1
世代名标注图例	标注实体名	1
世界地图底图	标注数值	1
世界地图底图（简化轮廓）	其他标注	1
世界地图底图，国家填充色	标注实体名	1
业务+占比	标注占比	1
业务名+象限	标注象限策略	1
业务名标注	标注实体名	1
业务名标注气泡	标注实体名	1
业务标注层内	标注位置	1
业态名+份额	标注金额占比	1
两侧标历史事件	标注事件	1
两侧标原因	标注驱动因素	1
两端标名称+变化	其他标注	1
两端标成本数字	其他标注	1
两端标排名	标注排名	1
两端标排名和供应商名，线旁标变化幅度	标注差异	1
两端标排名和城名，线旁标变化幅度	标注差异	1
两端标比例%和年份，线旁标变化幅度	标注差异	1
两端标注年份和数值	标注数值	1
两端标男女数值，中间标差距百分比	标注差异	1
个体	标注数值	1
个体+趋势线	标注趋势特征	1
中位变化标注图内	标注参考线	1
中位数+散点	标注参考线	1
中位数+最大值标注	标注参考线	1
中位数+目标标注	标注参考线	1
中位数/均值标注	标注参考线	1
中位数标注	标注参考线	7
中位数标注图内	标注参考线	1
中位数标注箱内	标注位置	6
中位线标概率	标注参考线	1
中国地图底图	标注数值	1
中国地图底图，省份填充色+数据标注	其他标注	1
中心=原始语根，径向向外展开，每个分支角度编码子语言数量	标注数值	1
中心对称散点图，x	其他标注	1
中心放28%	标注占比	1
中心放总数值	标注数值	1
中心放病毒微观结构示意图，外围	其他标注	1
中心标注总规模	其他标注	1
中心轴标注"数字化转型"，两侧标指标名	其他标注	1
中标概率值，两侧标历史事件	标注事件	1
中标注"90%	标注占比	1
中轴=100（持平），左右展开，按涨跌幅绝对值降序	其他标注	1
中轴为零偏差，标注国名	标注差异	1
中轴基准线，左右对称展开，按总不对称度降序排列	标注参考线	1
中间标国家名	标注实体名	1
中间标差异%	标注差异	1
中间标注共识利率	其他标注	1
中间轴标注年龄组	其他标注	1
中间轴标注职业名	其他标注	1
中间轴标注行业名	标注实体名	1
丰度+变化倍数	标注效率	1
临界点→影响	标注数值	1
临界点名标注	标注实体名	2
临界点名称	标注数值	1
临界点标注	标注数值	1
主体名+象限	标注象限策略	1
主题+占比	标注占比	1
主题+论文数	标注数值	1
主题名标注	标注实体名	1
书目标名称	标注数值	1
事件+损失额	标注事件	1
事件+金额	标注事件	1
事件名+影响	标注事件	5
事件名+数据	标注事件	1
事件名+日期标注	标注事件	1
事件名+震级	标注事件	1
事件名标注峰值	标注事件	1
事件名标注时间轴	标注事件	1
事件名标注点上方	标注实体名	1
事件数标注	标注事件	2
事件标年份+描述	标注事件	1
事件标日期	标注事件	2
事件标注名+日期	标注事件	1
事件标注时间轴	标注事件	3
事件标注（战争/OPEC）	标注事件	1
事件标注（战争/制裁）	标注事件	1
事件标注（疫情/拥堵）	标注事件	1
事件标注（疫情/放开）	标注事件	1
事件点标注名称和日期，连接线用虚线	标注事件	1
事件点用竖线+文字标注，如"美联储加息"	标注事件	1
事件类型标注	标注事件	1
事件触发标注	标注事件	1
事故率标注	标注数值	2
二维散点，四象限+对角参考线	标注参考线	1
亚组名+HR	标注数值	1
亚群名+比例标注圈内	标注占比	1
交叉点标注	标注趋势特征	1
交易量+均价	标注数值	1
交易额+均价	标注数值	1
交易额+增速	标注增长率	1
交易额+笔数	标注数值	1
交易额标注	标注数值	1
交集大小标注条形末端	标注位置	1
产业+贡献度	标注数值	1
产业名标注面积内	标注实体名	2
产业名称	标注实体名	1
产业标注面积内	标注位置	1
产业结构标签	标注数值	1
产值+占比标注	标注占比	1
产出标注	标注数值	1
产品+价值	标注效率	1
产品+名义本金	其他标注	1
产品名+象限	标注象限策略	4
产品名+趋势线	标注实体名	1
产率+步骤	标注阶段	1
产能+投产年	标注阶段	2
产能+状态	标注数值	1
产量+全球占比	标注占比	1
产量+成本	标注数值	1
产量+能耗	标注数值	1
产量值标注图例	标注位置	1
人数+占比标注	标注金额占比	2
人数+占比标注层内	标注金额占比	1
人数标注	标注数值	3
人数标注带内	标注位置	4
人数标注段内	标注位置	1
人群+位点	标注数值	1
从左到右展开，每层一个决策维度	标注维度评分	1
仓库/品类+象限	标注象限策略	1
代数+精度提升	其他标注	1
代谢物+样本簇	其他标注	1
代际标注面积内	标注位置	1
仪表盘展示总进度，雷达展示分维度	标注维度评分	1
价值+就业	标注效率	1
价值标注柱	标注效率	1
价值标注段内	标注位置	1
价值量标注	标注效率	1
价值项+金额	标注因素金额	1
价差标注	标注数值	1
价差标注区域	标注数值	1
价差标注条端	标注数值	1
价差标注柱	标注数值	2
价差标注线端	标注数值	1
价格+周期标注	标注阶段	1
价格标注图例	标注位置	1
任务名+发现	标注驱动因素	2
任务条标名称和起止日期，里程碑用菱形	标注阶段	1
任务类型	标注数值	1
份额+增速	标注规模增速	2
份额+趋势	标注金额占比	1
份额标注扇区	标注金额占比	1
份额标注环内	标注金额占比	1
份额标注面积内	标注金额占比	1
份额百分比+类别名	标注金额占比	1
企业名+象限	标注实体名	1
企业名+赛道	标注实体名	1
企业名标注节点	标注阶段	1
企业数+融资额	其他标注	1
伙伴名+类型	标注数值	1
伙伴名+金额	标注数值	1
估值+倍数	标注效率	1
估值+矿物类型	其他标注	1
估算量+置信度	其他标注	1
位点+P值	标注数值	1
位点+组织	标注数值	1
位置+速度	标注数值	1
作物名+占比	标注占比	1
作物名称	标注数值	1
作物标注	标注数值	1
使用率%标注	标注占比	1
供应商+风险等级	标注风险	1
供应商名+象限	标注实体名	1
供应商名标注	标注实体名	2
供需事件标注	标注事件	1
侧边临床条用分类色编码	标注评分	1
保护等级	标注评分	1
保费+份额	标注金额占比	1
保费+增速	标注规模增速	2
保险类型	标注数值	1
保额标注层内	标注数值	1
信任度+变化	标注数值	1
信用类型	标注数值	1
修正幅度标注	标注数值	1
借款人+贷款额	其他标注	1
债务类型标注面积内	标注位置	1
值标注条端	标注数值	1
倾向标注	标注数值	1
偏好标注	标注数值	2
偏差+拖累额	标注差异	1
偏差值和	标注差异	1
偏差百分比标注	标注差异	1
偏离%标注	标注差异	2
偏离度+趋势	标注差异	1
偏离标注	标注差异	1
储量标注	标注数值	1
催化剂名+类型	其他标注	1
催化剂名+象限	标注象限策略	1
元素标能力+等级	标注评分	1
光缆名标注	标注实体名	1
入口+影响	标注数值	1
入口出口标场景	其他标注	1
全屏粒子画布，中心扩散，频谱数据驱动粒子行为	标注驱动因素	1
全幅散点图，无坐标轴刻度（UMAP	其他标注	1
全幅横向散点图，x	其他标注	1
全幅美国地图底图	其他标注	1
全幅美国地图，点层叠加在行政边界之上，底部水平时间轴迷你条带	标注阶段	1
全画布点阵，地图轮廓隐含在点的分布中	其他标注	1
八轴雷达图，等角分布；内部同心圆标注	其他标注	1
公司名+排名	标注排名	1
公司名+趋势线	标注实体名	1
公司名标注	标注实体名	2
公司名标注头部气泡	标注实体名	1
六轴等角雷达图，三层叠加（企业A/企业B/行业平均）；内部同心六边形标注	标注参考线	1
六边形标能力	标注数值	1
共享x轴的多面板，纵向堆叠	其他标注	1
关注度标注	标注数值	1
关键事件标注	标注事件	1
关键事件标注在峰值处	标注事件	1
关键事件标注时间轴	标注事件	1
关键传球节点标注	标注阶段	1
关键年份标注	标注数值	2
关键日期标注在流量峰值处	标注趋势特征	1
关键球/局标注	其他标注	1
其余用灰色散点	其他标注	1
其余用灰色点	标注数值	1
内环(大类)+外环(子类)，中心留空放总数	其他标注	1
再犯率标注	标注数值	1
冲突等级标注	标注评分	1
决策标注节点	标注阶段	1
决策标注菱形	标注数值	1
